iter	Passed	Remaining
140	1415	8625
141	1424	8605
142	1434	8594
143	1440	8565
144	1449	8546
145	1457	8527
146	1468	8523
147	1477	8505
148	1484	8480
149	1492	8455
150	1499	8433
151	1507	8407
152	1516	8393
153	1523	8371
154	1531	8349
155	1539	8326
156	1548	8313
157	1556	8295
158	1564	8276
159	1574	8266
160	1581	8242
161	1591	8234
162	1599	8213
163	1609	8205
164	1617	8183
165	1627	8175
166	1634	8150
167	1648	8163
168	1656	8145
169	1665	8130
170	1676	8126
171	1682	8100
172	1692	8089
173	1698	8063
174	1710	8062
175	1718	8048
176	1726	8025
177	1734	8011
178	1743	7995
179	1751	7980
180	1760	7965
181	1770	7958
182	1777	7937
183	1788	7930
184	1796	7915
185	1806	7905
186	1813	7886
187	1822	7871
188	1829	7848
189	1836	7827
190	1845	7815
191	1853	7800
192	1860	7778
193	1871	7775
194	1878	7753
195	1887	7743
196	1895	7724
197	1903	7709
198	1909	7686
199	1921	7684
200	1926	7660
201	1941	7669
202	1952	7665
203	1960	7647
204	1969	7638
205	1975	7615
206	1985	7606
207	1991	7584
208	2006	7592
209	2015	7582
210	2023	7565
211	2034	7562
212	2042	7548
213	2062	7574
214	2070	7560
215	2077	7538
216	2087	7532
217	2098	7527
218	2105	7508
219	2116	7503
220	2127	7497
221	2138	7494
222	2149	7488
223	2160	7485
224	2167	7465
225	2177	7456
226	2188	7450
227	2196	7436
228	2204	7421
229	2212	7407
230	2222	7397
231	2229	7379
232	2238	7368
233	2246	7354
234	2256	7346
235	2263	7327
236	2273	7319
237	2279	7299
238	2289	7290
239	2297	7274
240	2306	7265
241	2313	7246
242	2325	7243
243	2331	7225
244	2341	7216
245	2351	7207
246	2358	7191
247	2367	7179
248	2374	7162
249	2385	7155
250	2393	7141
251	2404	7137
252	2418	7141
253	2425	7123
254	2443	7139
255	2458	7144
256	2466	7131
257	2473	7114
258	2483	7104
259	2491	7090
260	2501	7081
261	2507	7063
262	2518	7056
263	2524	7037
264	2534	7030
265	2543	7019
266	2553	7008
267	2565	7005
268	2571	6987
269	2582	6982
270	2588	6963
271	2598	6954
272	2604	6936
273	2617	6936
274	2626	6923
275	2633	6907
276	2647	6910
277	2654	6893
278	2663	6882
279	2669	6865
280	2682	6862
281	2689	6847
282	2697	6834
283	2703	6816
284	2714	6810
285	2720	6791
286	2733	6789
287	2741	6778
288	2749	6763
289	2756	6747
290	2765	6737
291	2774	6728
292	2783	6716
293	2791	6702
294	2799	6689
295	2806	6674
296	2816	6667
297	2825	6657
298	2833	6642
299	2841	6630
300	2848	6614
301	2857	6604
302	2864	6589
303	2873	6578
304	2889	6583
305	2897	6571
306	2908	6564
307	2916	6553
308	2924	6540
309	2931	6525
310	2940	6514
311	2948	6501
312	2957	6490
313	2963	6474
314	2973	6466
315	2983	6457
316	2990	6442
317	2996	6426
318	3005	6416
319	3012	6401
320	3030	6410
321	3039	6399
322	3046	6385
323	3071	6408
324	3083	6403
325	3095	6400
326	3106	6393
327	3114	6381
328	3121	6366
329	3132	6360
330	3148	6364
331	3155	6348
332	3162	6335
333	3170	6321
334	3177	6307
335	3186	6296
336	3193	6283
337	3201	6270
338	3209	6257
339	3219	6249
340	3226	6236
341	3235	6224
342	3243	6212
343	3251	6199
344	3257	6184
345	3267	6175
346	3275	6163
347	3282	6149
348	3288	6135
349	3297	6124
350	3305	6112
351	3319	6110
352	3328	6101
353	3336	6088
354	3347	6082
355	3354	6068
356	3363	6057
357	3371	6046
358	3380	6035
359	3386	6021
360	3396	6012
361	3405	6001
362	3413	5989
363	3421	5978
364	3429	5965
365	3435	5951
366	3445	5943
367	3456	5935
368	3465	5926
369	3475	5918
370	3484	5908
371	3491	5894
372	3498	5881
373	3508	5872
374	3516	5860
375	3524	5848
376	3530	5834
377	3539	5824
378	3547	5812
379	3556	5802
380	3563	5789
381	3576	5786
382	3586	5778
383	3595	5766
384	3606	5760
385	3618	5755
386	3626	5744
387	3636	5735
388	3643	5722
389	3651	5711
390	3659	5700
391	3669	5692
392	3679	5682
393	3687	5672
394	3697	5663
395	3706	5653
396	3716	5645
397	3724	5633
398	3734	5624
399	3743	5615
400	3751	5604
401	3760	5593
402	3766	5579
403	3774	5567
404	3783	5558
405	3790	5545
406	3800	5537
407	3809	5526
408	3817	5516
409	3825	5504
